"DAYDT";"WEEKOFYEARID";"YEARID";"MONTH"
"2012-05-28";22;2012;5
"2012-02-25";8;2012;2
"2012-06-16";24;2012;6
"2012-06-17";24;2012;6
"2012-04-02";14;2012;4
"2012-09-02";35;2012;9
"2011-06-22";25;2011;6
"2010-01-04";1;2010;1
"2012-07-19";29;2012;7
"2012-04-08";14;2012;4
"2012-12-25";52;2012;12
"2012-03-21";12;2012;3
"2010-04-30";17;2010;4
"2010-10-30";43;2010;10
"2010-04-22";16;2010;4
"2010-06-18";24;2010;6
"2012-02-29";9;2012;2
"2011-01-22";3;2011;1
"2010-12-25";51;2010;12
"2010-07-22";29;2010;7
"2012-05-24";21;2012;5
"2011-12-17";50;2011;12
"2011-08-28";34;2011;8
"2010-03-04";9;2010;3
"2011-06-24";25;2011;6
"2011-11-14";46;2011;11
"2012-07-26";30;2012;7
"2010-06-05";22;2010;6
"2010-08-26";34;2010;8
"2012-10-26";43;2012;10
"2012-12-09";49;2012;12
"2011-02-16";7;2011;2
"2011-05-19";20;2011;5
"2011-12-24";51;2011;12
"2010-09-06";36;2010;9
"2011-12-15";50;2011;12
"2012-08-25";34;2012;8
"2010-10-24";42;2010;10
"2012-04-14";15;2012;4
"2012-02-23";8;2012;2
"2012-10-13";41;2012;10
"2010-08-30";35;2010;8
"2010-09-29";39;2010;9
"2010-10-16";41;2010;10
"2011-02-28";9;2011;2
"2011-12-22";51;2011;12
"2010-03-15";11;2010;3
"2010-09-14";37;2010;9
"2010-09-08";36;2010;9
"2011-08-22";34;2011;8
"2012-01-05";1;2012;1
"2012-01-26";4;2012;1
"2011-09-23";38;2011;9
"2011-06-15";24;2011;6
"2010-08-29";34;2010;8
"2010-01-15";2;2010;1
"2010-12-02";48;2010;12
"2012-12-30";52;2012;12
"2011-12-09";49;2011;12
"2012-05-11";19;2012;5
"2012-10-12";41;2012;10
"2011-06-05";22;2011;6
"2011-12-11";49;2011;12
"2012-02-27";9;2012;2
"2011-08-30";35;2011;8
"2010-04-14";15;2010;4
"2012-10-16";42;2012;10
"2012-11-21";47;2012;11
"2012-02-02";5;2012;2
"2012-08-12";32;2012;8
"2012-11-23";47;2012;11
"2012-10-29";44;2012;10
"2012-04-29";17;2012;4
"2011-08-17";33;2011;8
"2011-12-18";50;2011;12
"2011-02-27";8;2011;2
"2011-01-21";3;2011;1
"2012-07-18";29;2012;7
"2010-08-21";33;2010;8
"2011-12-26";52;2011;12
"2010-06-10";23;2010;6
"2012-12-11";50;2012;12
"2012-01-04";1;2012;1
"2010-12-12";49;2010;12
"2012-07-30";31;2012;7
"2011-08-20";33;2011;8
"2011-07-21";29;2011;7
"2012-03-30";13;2012;3
"2011-05-10";19;2011;5
"2010-07-17";28;2010;7
"2012-04-03";14;2012;4
"2010-08-28";34;2010;8
"2012-07-11";28;2012;7
"2010-09-30";39;2010;9
"2011-04-19";16;2011;4
"2012-12-06";49;2012;12
"2011-10-29";43;2011;10
"2011-02-08";6;2011;2
"2011-10-14";41;2011;10
"2011-06-08";23;2011;6
"2011-05-05";18;2011;5
"2011-10-12";41;2011;10
"2011-12-04";48;2011;12
"2012-11-19";47;2012;11
"2012-06-23";25;2012;6
"2010-02-21";7;2010;2
"2011-03-29";13;2011;3
"2011-12-14";50;2011;12
"2011-08-11";32;2011;8
"2010-01-09";1;2010;1
"2010-06-16";24;2010;6
"2010-06-07";23;2010;6
"2012-05-08";19;2012;5
"2010-07-08";27;2010;7
"2011-10-21";42;2011;10
"2012-03-18";11;2012;3
"2010-01-19";3;2010;1
"2010-07-13";28;2010;7
"2010-08-07";31;2010;8
"2010-03-17";11;2010;3
"2011-11-05";44;2011;11
"2011-04-04";14;2011;4
"2011-10-05";40;2011;10
"2010-05-21";20;2010;5
"2010-03-21";11;2010;3
"2012-11-17";46;2012;11
"2012-01-27";4;2012;1
"2012-04-19";16;2012;4
"2012-04-10";15;2012;4
"2012-10-30";44;2012;10
"2010-08-11";32;2010;8
"2010-01-05";1;2010;1
"2012-04-23";17;2012;4
"2011-04-14";15;2011;4
"2010-01-01";52;2010;1
"2011-08-16";33;2011;8
"2010-06-30";26;2010;6
"2010-11-14";45;2010;11
"2011-01-07";1;2011;1
"2010-11-04";44;2010;11
"2012-08-10";32;2012;8
"2011-02-21";8;2011;2
"2010-04-24";16;2010;4
"2010-09-26";38;2010;9
"2010-06-29";26;2010;6
"2011-12-10";49;2011;12
"2012-01-23";4;2012;1
"2012-12-05";49;2012;12
"2012-03-27";13;2012;3
"2010-04-12";15;2010;4
"2012-09-09";36;2012;9
"2011-09-18";37;2011;9
"2011-03-22";12;2011;3
"2012-05-15";20;2012;5
"2010-11-18";46;2010;11
"2012-08-14";33;2012;8
"2011-11-27";47;2011;11
"2012-03-23";12;2012;3
"2012-07-13";28;2012;7
"2012-10-19";42;2012;10
"2011-10-06";40;2011;10
"2011-09-13";37;2011;9
"2012-05-02";18;2012;5
"2010-07-18";28;2010;7
"2011-03-30";13;2011;3
"2010-07-19";29;2010;7
"2012-03-24";12;2012;3
"2010-05-16";19;2010;5
"2012-07-10";28;2012;7
"2012-06-06";23;2012;6
"2011-02-02";5;2011;2
"2012-03-05";10;2012;3
"2012-03-12";11;2012;3
"2010-10-09";40;2010;10
"2011-02-07";6;2011;2
"2011-09-27";39;2011;9
"2010-10-17";41;2010;10
"2012-03-20";12;2012;3
"2012-09-04";36;2012;9
"2010-12-15";50;2010;12
"2011-04-08";14;2011;4
"2011-05-07";18;2011;5
"2011-09-03";35;2011;9
"2012-12-24";52;2012;12
"2011-05-16";20;2011;5
"2012-11-10";45;2012;11
"2010-05-11";19;2010;5
"2011-09-04";35;2011;9
"2012-07-03";27;2012;7
"2011-09-02";35;2011;9
"2012-11-09";45;2012;11
"2010-09-27";39;2010;9
"2010-05-04";18;2010;5
"2011-09-26";39;2011;9
"2011-08-12";32;2011;8
"2011-05-22";20;2011;5
"2010-09-15";37;2010;9
"2011-12-21";51;2011;12
"2010-02-24";8;2010;2
"2012-10-23";43;2012;10
"2012-12-02";48;2012;12
"2011-04-17";15;2011;4
"2011-10-20";42;2011;10
"2011-12-12";50;2011;12
"2012-01-14";2;2012;1
"2012-09-24";39;2012;9
"2011-01-27";4;2011;1
"2011-12-03";48;2011;12
"2010-05-25";21;2010;5
"2012-02-09";6;2012;2
"2011-08-18";33;2011;8
"2011-07-24";29;2011;7
"2010-10-11";41;2010;10
"2012-11-18";46;2012;11
"2012-02-03";5;2012;2
"2012-12-18";51;2012;12
"2010-07-30";30;2010;7
"2012-09-16";37;2012;9
"2012-05-10";19;2012;5
"2010-07-05";27;2010;7
"2010-07-04";26;2010;7
"2010-02-27";8;2010;2
"2010-02-10";6;2010;2
"2010-11-10";45;2010;11
"2012-03-08";10;2012;3
"2012-06-18";25;2012;6
"2011-12-06";49;2011;12
"2010-09-13";37;2010;9
"2012-08-03";31;2012;8
"2011-08-14";32;2011;8
"2010-05-19";20;2010;5
"2010-08-03";31;2010;8
"2010-09-05";35;2010;9
"2010-01-28";4;2010;1
"2011-05-23";21;2011;5
"2010-11-12";45;2010;11
"2010-06-26";25;2010;6
"2010-11-06";44;2010;11
"2012-06-29";26;2012;6
"2010-04-10";14;2010;4
"2011-10-30";43;2011;10
"2012-07-28";30;2012;7
"2012-11-02";44;2012;11
"2011-06-19";24;2011;6
"2012-06-22";25;2012;6
"2011-01-01";52;2011;1
"2012-07-31";31;2012;7
"2010-03-12";10;2010;3
"2011-05-03";18;2011;5
"2011-06-12";23;2011;6
"2011-10-01";39;2011;10
"2012-09-05";36;2012;9
"2011-01-20";3;2011;1
"2011-02-18";7;2011;2
"2010-12-18";50;2010;12
"2010-01-02";52;2010;1
"2010-06-04";22;2010;6
